更新时间,#genre#
陕西卫视,http://123.56.129.203:2260/rtp/225.1.8.154:8140$北京电信组播源
四川卫视,http://123.56.129.203:2260/rtp/225.1.8.142:8288$北京电信组播源
深圳卫视,http://123.56.129.203:2260/rtp/225.1.8.145:9244$北京电信组播源
深圳卫视,http://[2409:8087:1a0a:df::4013]:80/wh7f454c46tw2667830568_725069943/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8?icpid=88888888&RTS=1713969496&from=4&hms_devid=773&online=1713969496&vqe=3$订阅源|IPv6
三沙卫视,http://122.9.151.210:8088/rtp/238.255.2.203:5999$组播源
三沙卫视,http://123.56.129.203:2260/rtp/225.1.8.78:4120$北京电信组播源
三沙卫视,http://36.156.94.111/cucc-livod.ks-cdn.gitv.tv/gitv_live/G_SANSHA-HQ/G_SANSHA-HQ.m3u8$订阅源
三沙卫视,http://[2409:8087:5e01:34::27]:6610/ZTE_CMS/08984400000000060000000000000319/index.m3u8?IAS$订阅源|IPv6
三沙卫视,http://39.98.201.151:9090/udp/225.1.8.78:4120$订阅源
天津卫视,http://123.56.129.203:2260/rtp/225.1.8.136:8144$北京电信组播源
西藏卫视,http://123.56.129.203:2260/rtp/225.1.8.160:8164$北京电信组播源
新疆卫视,http://123.56.129.203:2260/rtp/225.1.8.161:8160$北京电信组播源
云南卫视,http://123.56.129.203:2260/rtp/225.1.8.139:8108$北京电信组播源
云南卫视,http://[2409:8087:4402:20:1:1216:401:14]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226660/index.m3u8$订阅源|IPv6

☘️广东频道,#genre#
广东卫视,http://123.56.129.203:2260/rtp/225.1.8.151:8132$北京电信组播源
广州综合,http://tencentplaygzrb01.gztv.com/live/zonghes.m3u8$订阅源
广州影视,http://tencentplaygzrb01.gztv.com/live/yingshi.m3u8$订阅源
深圳卫视,http://123.56.129.203:2260/rtp/225.1.8.145:9244$北京电信组播源

☘️浙江频道,#genre#
浙江钱江都市,http://ali-m-l.cztv.com/channels/lantian/channel002/720p.m3u8$订阅源
浙江钱江都市,http://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8$订阅源
浙江经济生活,http://ali-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8$订阅源
浙江经济生活,http://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8$订阅源
浙江民生,http://ali-m-l.cztv.com/channels/lantian/channel06/720p.m3u8$订阅源
浙江民生,http://ali-m-l.cztv.com/channels/lantian/channel06/1080p.m3u8$订阅源
浙江新闻,http://120.55.49.231:7805/rtp/233.50.201.137:5140$组播源
浙江新闻,http://120.55.49.231:8872/rtp/233.50.201.137:5140$组播源
浙江新闻,http://120.55.49.231:4276/rtp/233.50.201.137:5140$组播源
浙江新闻,http://ali-m-l.cztv.com/channels/lantian/channel07/720p.m3u8$订阅源
浙江新闻,http://ali-m-l.cztv.com/channels/lantian/channel007/720p.m3u8$订阅源
浙江新闻,http://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8$订阅源
浙江少儿,http://120.55.49.231:2693/rtp/233.50.201.138:5140$组播源
浙江少儿,http://120.55.49.231:7320/rtp/233.50.201.138:5140$组播源
浙江少儿,http://120.55.49.231:3543/rtp/233.50.201.138:5140$组播源
浙江少儿,http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8$订阅源
浙江国际,http://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8$订阅源
浙江国际,http://ali-m-l.cztv.com/channels/lantian/channel010/720p.m3u8$订阅源

☘️北京频道,#genre#
北京卡酷少儿,http://123.56.129.203:2260/rtp/225.1.8.130:8002$北京电信组播源
北京新闻,http://123.56.129.203:2260/rtp/225.1.8.129:8002$北京电信组播源
北京生活,http://123.56.129.203:2260/rtp/225.1.8.127:8002$北京电信组播源
北京科教,http://123.56.129.203:2260/rtp/225.1.8.123:8002$北京电信组播源
北京财经,http://123.56.129.203:2260/rtp/225.1.8.125:8002$北京电信组播源
北京青年,http://123.56.129.203:2260/rtp/225.1.8.128:8002$北京电信组播源

☘️上海频道,#genre#
东方影视,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000002000000013/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000013&IASHttpSessionId=OTT19019320240419154124000281$订阅源|IPv6
动漫秀场,http://122.9.151.210:8088/rtp/238.255.2.196:5999$组播源
哈哈炫动,http://[2409:8087:1a0b:df::4001]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225657/index.m3u8$订阅源|IPv6
第一财经,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226966/index.m3u8$订阅源|IPv6
纪实人文,http://123.56.129.203:2260/rtp/225.1.8.53:8060$北京电信组播源

☘️重庆频道,#genre#

☘️江苏频道,#genre#
优漫卡通,http://122.9.151.210:5987/rtp/238.255.2.57:5999$组播源
优漫卡通,http://122.9.151.210:4418/rtp/238.255.2.57:5999$组播源
优漫卡通,http://122.9.151.210:2693/rtp/238.255.2.57:5999$组播源
优漫卡通,http://58.221.214.82:9901/tsfile/live/0008_2.m3u8$订阅源
优漫卡通,http://112.102.217.173:9003//hls/74/index.m3u8$订阅源

☘️辽宁频道,#genre#

☘️湖南频道,#genre#
金鹰纪实,http://123.56.129.203:2260/rtp/225.1.8.31:8156$北京电信组播源

☘️湖北频道,#genre#

☘️广西频道,#genre#

☘️天津频道,#genre#
天津卫视,http://123.56.129.203:2260/rtp/225.1.8.136:8144$北京电信组播源

☘️四川频道,#genre#

☘️陕西频道,#genre#

☘️福建频道,#genre#
厦门卫视,http://123.56.129.203:2197/rtp/225.1.8.166:4120$组播源
厦门卫视,http://122.9.151.210:9324/rtp/238.255.2.205:5999$组播源
厦门卫视,http://123.56.129.203:2260/rtp/225.1.8.166:4120$北京电信组播源
厦门卫视,http://106.53.99.30/dl/xmtv.php?id=xmws$订阅源
厦门卫视,http://110.80.17.38:9901/tsfile/live/0128_1.m3u8$订阅源
厦门卫视,http://39.98.201.151:9090/udp/225.1.8.166:4120$订阅源
福建少儿,http://8.138.7.223/tv/fjtv.php?id=2$订阅源

☘️海南频道,#genre#

☘️河南频道,#genre#

☘️河北频道,#genre#

☘️贵州频道,#genre#
安顺新闻,http://7fb6a9494e941e2acfc4eed53f777c1a.livehwc3.cn/hplayer1.juyun.tv/camera/154379194.m3u8$订阅源

☘️甘肃频道,#genre#

☘️新疆频道,#genre#
新疆卫视,http://123.56.129.203:2260/rtp/225.1.8.161:8160$北京电信组播源

☘️山东频道,#genre#

☘️山西频道,#genre#

☘️安徽频道,#genre#

☘️宁夏频道,#genre#
安多卫视,http://122.9.151.210:8444/rtp/238.255.2.189:5999$组播源
安多卫视,http://122.9.151.210:8225/rtp/238.255.2.189:5999$组播源
安多卫视,http://122.9.151.210:9324/rtp/238.255.2.189:5999$组播源
安多卫视,http://[2409:8087:1a0b:df::4007]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225659/index.m3u8$订阅源|IPv6
安多卫视,http://stream.qhbtv.com/adws/sd/live.m3u8$订阅源
安多卫视,http://36.156.94.111/cucc-livod.ks-cdn.gitv.tv/gitv_live/G_ANDUO/G_ANDUO.m3u8$订阅源
安多卫视,http://stream.qhbtv.com/adws/playlist.m3u8?_upt=fa85a7111719921825$订阅源

☘️吉林频道,#genre#
延边卫视,http://122.9.151.210:2693/rtp/238.255.2.204:5999$组播源
延边卫视,http://122.9.151.210:9324/rtp/238.255.2.204:5999$组播源
延边卫视,http://122.9.151.210:8444/rtp/238.255.2.204:5999$组播源
延边卫视,http://120.76.248.139/live/bfgd/4200000117.m3u8$订阅源
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8$订阅源
延边卫视,http://live.nctv.top/6688/bfgd.php?id=117$订阅源

☘️内蒙古频道,#genre#

☘️云南频道,#genre#

☘️青海频道,#genre#
安多卫视,http://122.9.151.210:8444/rtp/238.255.2.189:5999$组播源
安多卫视,http://122.9.151.210:9324/rtp/238.255.2.189:5999$组播源
